"id","nama","created_at","updated_at"
1,DIREKTUR PT,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
2,DIREKTUR UTAMA,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
3,KEPALA OPERASIONAL,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
4,KEPALA KEUANGAN,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
5,KEPALA HUMAN CAPITAL,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
6,KEPALA MANAGEMENT INFORMATION SYSTEM,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
7,KEPALA RPHU,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
8,SUPERVISOR ACCOUNTING 1,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
9,SUPERVISOR ACCOUNTING 2,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
10,SUPERVISOR HRD,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
11,SUPERVISOR DEVELOPMENT,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
12,SUPERVISOR FINANCE,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
13,SUPERVISOR LOGISTIK DOC,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
14,SUPERVISOR LOGISTIK PAKAN & OVK,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
15,SUPERVISOR PAJAK,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
16,SUPERVISOR PENJUALAN,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
17,SUPERVISOR INTERNAL AUDIT,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
18,SUPERVISOR RISET & TRAINING PRODUKSI,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
19,PLANT MANAGER,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
20,ENGINEERING HEAD,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
21,KEPALA TEKNOLOGI,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
22,SUPERVISOR PIRANTI LUNAK,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
23,SUPERVISOR LAYANAN PENGGUNA,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
24,SUPERVISOR PERANGKAT DIGITAL,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
25,SUPERVISOR MONITORING & REPORTING,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
26,SUPERVISOR WAREHOUSE & LOGISTIC,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
27,KEPALA UNIT,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
28,KEPALA PRODUKSI,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
29,KEPALA REGION,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
30,KOMISARIS,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
31,SALES,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
32,STAFF HRD,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
33,STAFF DEVELOPMENT,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
34,STAFF INTERNAL AUDIT,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
35,STAFF HC,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
36,STAFF IT,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
37,STAFF MANAGEMENT INFORMATION SYSTEM,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
38,STAFF QUALITY ASSURANCE,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
39,STAFF PENJUALAN,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
40,STAFF LEGAL,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
41,STAFF LOGISTIK DOC,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
