"id","nikfilter","tanggalawalfilter","tanggalakhirfilter","vendorfilter","apfilter","unitfilter","created_at","updated_at"
817,"1632.MTK.0519",2025-01-26,2025-02-01,SEMUA,null,,2025-01-25 10:37:16.000,2025-01-25 10:37:16.000
1549,"1299.MTK.0817",2025-01-27,2025-01-31,SEMUA,"""PT BINTANG TERANG BERSINAR""",SEMUA,2025-01-28 14:48:09.000,2025-01-28 14:48:09.000
1595,"2412.PM.0424",2025-01-29,2025-01-31,CP JBR,"""PT BAROKAH RESTU UTAMA""",SEMUA,2025-01-28 19:41:46.000,2025-01-28 19:41:46.000
1598,"2431.MTK.0824",2025-01-26,2025-01-31,SEMUA,"""PT LAWU ABADI NUSA""",WNG,2025-01-29 07:35:26.000,2025-01-29 07:35:26.000
2910,"2261.MTK.0224",2025-02-03,2025-02-08,SEMUA,"[""SEMUA""]",SEMUA,2025-02-03 10:18:35.000,2025-02-03 10:18:35.000
2992,user.asdir,,,CIBADAK,"""PT MURIA JAYA RAYA""",SEMUA,2025-02-03 11:50:23.000,2025-02-03 11:50:23.000
3094,"2475.PM.0724",2025-01-01,2025-02-03,SEMUA,null,,2025-02-03 16:44:38.000,2025-02-03 16:44:38.000
3383,"2565.PM.0125",2025-01-03,2025-01-08,SEMUA,null,,2025-02-04 13:36:32.000,2025-02-04 13:36:32.000
3727,"0510.MTK.0815",2025-02-02,2025-02-08,SEMUA,"""PT GILAR PERWIRA SATRIA""",CLP,2025-02-05 16:15:19.000,2025-02-05 16:15:19.000
4029,"1512.MTK.1118",2025-02-03,2025-02-08,SEMUA,"""PT ANEKA INTAN LESTARI""",PKL,2025-02-06 20:26:55.000,2025-02-06 20:26:55.000
4236,"2410.MTK.0724",2025-02-10,2025-02-15,SEMUA,"""PT MURIA JAYA RAYA""",RBG,2025-02-07 11:18:30.000,2025-02-07 11:18:30.000
4468,"2273.PM.1123",2025-02-10,2025-02-15,SEMUA,"""PT BAROKAH RESTU UTAMA""",TRG,2025-02-07 14:59:49.000,2025-02-07 14:59:49.000
4572,"0792.MTK.0316",2025-02-09,2025-02-15,SEMUA,"""PT SAWUNG GEMA ABADI""",BWN,2025-02-07 16:11:59.000,2025-02-07 16:11:59.000
4751,"1766.MTK.0121",2025-02-10,2025-02-15,SEMUA,"""PT GILAR PERWIRA SATRIA""",BJN,2025-02-08 09:19:39.000,2025-02-08 09:19:39.000
4777,"1850.MTK.0322",2025-02-10,2025-02-15,SEMUA,"""PT BAROKAH RESTU UTAMA""",BDG,2025-02-08 09:32:34.000,2025-02-08 09:32:34.000
4801,"0344.MTK.0814",2025-02-10,2025-02-15,SEMUA,"""PT BINTANG TERANG BERSINAR""",TGL,2025-02-08 09:41:52.000,2025-02-08 09:41:52.000
4836,"2170.PM.0723",2025-02-09,2025-02-15,SEMUA,"""PT BAROKAH RESTU UTAMA""",SBG,2025-02-08 10:00:48.000,2025-02-08 10:00:48.000
4884,"1978.MTK.1222",2025-02-01,2025-02-15,CP JTG,"[""PT ANEKA INTAN LESTARI""]",SEMUA,2025-02-08 10:57:15.000,2025-02-08 10:57:15.000
4897,"0410.MTK.0215",2025-02-10,2025-02-15,SEMUA,"""PT BINTANG TERANG BERSINAR""",SEMUA,2025-02-08 11:11:49.000,2025-02-08 11:11:49.000
4998,"0255.MTK.0913",2025-02-01,2025-02-18,SEMUA,"""PT MURIA JAYA RAYA""",KDS,2025-02-08 12:55:09.000,2025-02-08 12:55:09.000
5025,"0232.MTK.0813",2025-02-01,2025-02-15,SEMUA,"""PT MITRA PETERNAKAN UNGGAS""",PDG,2025-02-09 00:32:36.000,2025-02-09 00:32:36.000
5149,"1019.MTK.0816",2025-02-09,2025-02-15,SEMUA,"""PT MITRA MAHKOTA BUANA""",SMG,2025-02-10 09:02:44.000,2025-02-10 09:02:44.000
5151,"0117.MTK.0612",2025-02-10,2025-02-10,SEMUA,"""PT MITRA PETERNAKAN UNGGAS""",CRB,2025-02-10 09:04:17.000,2025-02-10 09:04:17.000
5185,"0919.MTK.0516",2025-02-09,2025-02-15,SEMUA,"""PT KARYA SATWA MULIA""",MGT,2025-02-10 09:40:31.000,2025-02-10 09:40:31.000
5200,"0573.MTK.1015",2025-02-10,2025-02-12,SEMUA,"""PT KEDU LINTAS BERBINTANG""",KBM,2025-02-10 09:46:30.000,2025-02-10 09:46:30.000
5211,"2479.MTK.1024",2025-02-10,2025-02-15,SEMUA,"""PT MITRA UNGGAS MAKMUR""",KTA,2025-02-10 09:54:44.000,2025-02-10 09:54:44.000
5228,"1630.MTK.0519",2025-02-10,2025-02-10,SEMUA,"""PT KARYA SATWA MULIA""",MGT,2025-02-10 10:12:12.000,2025-02-10 10:12:12.000
5231,"1120.MTK.1016",2025-02-10,2025-02-14,SEMUA,"""PT MURIA JAYA RAYA""",TBN,2025-02-10 10:24:32.000,2025-02-10 10:24:32.000
5237,"0626.MTK.1215",2025-02-09,2025-02-15,SEMUA,"""PT MITRA MAHKOTA BUANA""",UNG,2025-02-10 10:28:56.000,2025-02-10 10:28:56.000
5294,"2414.PM.0424",2025-02-10,2025-02-16,SEMUA,"""PT MITRA UNGGAS MAKMUR""",SEMUA,2025-02-10 11:59:55.000,2025-02-10 11:59:55.000
5304,"0793.MTK.0316",2025-02-10,2025-02-15,SEMUA,"""PT MITRA PETERNAKAN UNGGAS""",PPT,2025-02-10 12:12:47.000,2025-02-10 12:12:47.000
5372,"1808.MTK.0921",2025-01-27,2025-02-08,SEMUA,"""PT SAWUNG GEMA ABADI""",SEMUA,2025-02-10 14:58:48.000,2025-02-10 14:58:48.000
5374,"0552.MTK.0915",2024-12-01,2025-03-01,SEMUA,"""PT ANEKA INTAN LESTARI""",KJN,2025-02-10 15:11:54.000,2025-02-10 15:11:54.000
5377,"0498.MTK.0815",2025-02-10,2025-02-15,SEMUA,"""PT MITRA PETERNAKAN UNGGAS""",LSR,2025-02-10 15:23:17.000,2025-02-10 15:23:17.000
5382,"1803.MTK.0821",2025-02-10,2025-02-15,SEMUA,"""PT LAJU SATWA WISESA""",TLA,2025-02-10 16:52:04.000,2025-02-10 16:52:04.000
5393,"1312.MTK.0917",2025-02-10,2025-02-15,SEMUA,"""PT ANEKA INTAN LESTARI""",PML,2025-02-10 20:31:45.000,2025-02-10 20:31:45.000
5402,"2429.PM.0524",2025-02-09,2025-02-15,SEMUA,"""PT LAWU ABADI NUSA""",WNG,2025-02-11 07:11:05.000,2025-02-11 07:11:05.000
5407,"1611.MTK.0519",2025-02-10,2025-02-14,SEMUA,"""PT LAWU ABADI NUSA""",SGN,2025-02-11 08:29:48.000,2025-02-11 08:29:48.000
5433,"0225.MTK.0713",2025-02-10,2025-02-15,SEMUA,"""PT KEDU LINTAS BERBINTANG""",SEMUA,2025-02-11 08:59:43.000,2025-02-11 08:59:43.000
5434,"2219.PM.0823",2025-02-10,2025-02-15,SEMUA,"""PT BAROKAH RESTU UTAMA""",MJK,2025-02-11 08:59:48.000,2025-02-11 08:59:48.000
5440,"1939.MTK.1022",2025-02-09,2025-02-15,SEMUA,"""PT LAWU ABADI NUSA""",MTG,2025-02-11 09:03:51.000,2025-02-11 09:03:51.000
5460,"2133.MTK.0823",2025-02-09,2025-02-15,SEMUA,"""PT SAWUNG GEMA ABADI""",GRB,2025-02-11 09:35:29.000,2025-02-11 09:35:29.000
5464,"2296.PM.1223",,,SEMUA,"""PT MITRA PETERNAKAN UNGGAS""",BNJ,2025-02-11 09:42:36.000,2025-02-11 09:42:36.000
5479,"1080.MTK.0916",2025-02-09,2025-02-15,SEMUA,"""PT ANEKA INTAN LESTARI""",PKL,2025-02-11 09:56:30.000,2025-02-11 09:56:30.000
5482,"1648.MTK.0619",2025-02-09,2025-02-15,SEMUA,"""PT KEDU LINTAS BERBINTANG""",TMG,2025-02-11 09:59:05.000,2025-02-11 09:59:05.000
5498,"1872.MTK.0622",2025-02-10,2025-02-15,CP JTG,"[""SEMUA""]",SEMUA,2025-02-11 10:11:09.000,2025-02-11 10:11:09.000
5509,"1932.MTK.1022",2025-02-11,2025-02-11,SEMUA,"""PT MITRA MAHKOTA BUANA""",BSW,2025-02-11 10:20:24.000,2025-02-11 10:20:24.000
5510,"0031.MTK.1209",2025-02-02,2025-02-15,SEMUA,"""PT GILAR PERWIRA SATRIA""",PWT,2025-02-11 10:20:35.000,2025-02-11 10:20:35.000
5513,"1553.MTK.0219",,,SEMUA,"""PT SAWUNG GEMA ABADI""",SLG,2025-02-11 10:23:01.000,2025-02-11 10:23:01.000
5515,"2264.MTK.0224",2025-02-09,2025-02-15,SEMUA,"""PT SAWUNG GEMA ABADI""",KRD,2025-02-11 10:25:08.000,2025-02-11 10:25:08.000
5516,"2523.PM.1124",2025-02-10,2025-02-15,SEMUA,"""PT KARYA SATWA MULIA""",MDN,2025-02-11 10:25:34.000,2025-02-11 10:25:34.000
5517,"0356.MTK.0914",2025-02-09,2025-02-15,SEMUA,"""PT ANEKA INTAN LESTARI""",BTG,2025-02-11 10:25:55.000,2025-02-11 10:25:55.000
5522,"1537.MTK.0119",2025-02-10,2025-02-15,SEMUA,"""PT BAROKAH RESTU UTAMA""",CJR,2025-02-11 10:31:00.000,2025-02-11 10:31:00.000
5541,"1156.MTK.1116",2025-02-10,2025-02-15,SEMUA,"""PT BINTANG TERANG BERSINAR""",BRB,2025-02-11 11:13:59.000,2025-02-11 11:13:59.000
5545,"0164.MTK.0113",2025-02-09,2025-02-15,SEMUA,"""PT BINTANG TERANG BERSINAR""",BMA,2025-02-11 11:15:26.000,2025-02-11 11:15:26.000
5549,"0245.MTK.0913",2025-02-09,2025-02-15,SEMUA,"""PT MURIA JAYA RAYA""",PTI,2025-02-11 11:17:41.000,2025-02-11 11:17:41.000
5550,"2104.MTK.0623",2025-02-10,2025-02-15,SEMUA,"""PT SAWUNG GEMA ABADI""",BYL,2025-02-11 11:17:47.000,2025-02-11 11:17:47.000
5555,"1748.MTK.0720",2025-02-09,2025-02-15,SEMUA,"""PT MITRA MAHKOTA BUANA""",GDO,2025-02-11 11:20:28.000,2025-02-11 11:20:28.000
